episode_id,family,coverage,cost_scenario,comparison,theorem_scope,terminal_wealth_gap,relative_terminal_wealth_gap,terminal_cash_gap,terminal_unit_gap,cash_contribution,unit_contribution,left_cash_drag,right_cash_drag,left_asset_exposure,right_asset_exposure,left_guardrail_activation_frequency,right_guardrail_activation_frequency,left_purchase_count,right_purchase_count,mechanisms,boundary_fixtures
sudden-rebound-primary,sudden-rebound,0.75,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,82.91677958682557704043588152345457950665690092489487074729,0.0130013301901858804989909544691946717243651024534579580357726,139.514403142743386243048205190534757966678504060185105277796,-0.4921532483123287756748897710180885083480139403068716046132,139.514403142743386243048205190534757966678504060185105277796,-56.597623555917809202612323667080178460021603135290234530518,0.17491545531218672180131673280468790151826709761835932266165,0.147012574683638044552707091766580949924931396806322301606091,0.864626538021694956205697586510160609167334983336732847540747,0.884742326276077993807498707032542135897296740063708118781221,0.8,1,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,-139.59726043517755957498844181277799429173382052396272802495,-0.0214199578336629616272676602220437729291363819942853954662328,735.062873418190222763535458832904749624656984031611508030452,-7.6057402943771111507697730490928934253599200396136890091774,735.062873418190222763535458832904749624656984031611508030452,-874.660133853367782338523900645682743916390804555574236055401,0.147012574683638044552707091766580949924931396806322301606091,0.0000000000000000000000000000000000000000000000000000000000002,0.884742326276077993807498707032542135897296740063708118781221,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,-57.59064331805490039052453210111060170977107038363446487253,-0.00883678075938650910361122288123431339480945545896186845467177,874.16428199062384759390331956352432007130495978444034990452,-8.1022167418145978085602421883881297546180524362441288241483,874.16428199062384759390331956352432007130495978444034990452,-931.754925308678747984427851664634921781076030168074814777054,0.174832856398124769518780663912704864014260991956888069980904,0,0.864671262494453114466279644669356726584554800012263741622324,1,0.8,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,82.83478114954164779812891971023594647888238142771208331612,0.0129901729811104443193871587631524457236562353348250692307207,139.444642337513799747013367410414272224415007631330302057631,-0.4922596625041056691207343278276376151785445756836366847088,139.444642337513799747013367410414272224415007631330302057631,-56.609861187972151948884447700178325745532626203618218741512,0.174832856398124769518780663912704864014260991956888069980904,0.146943927930622009569377990430622009569377990430622009569378,0.864671262494453114466279644669356726584554800012263741622324,0.884781065643391962785891369265298469520571181321062317790606,0.8,1,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.75,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,-140.42542446759654818865345181134654818865345181134654818865,-0.0215470537846016870444169401251693915646001415930862148500982,734.719639653110047846889952153110047846889952153110047846889,-7.6099570793104921394395078605604921394395078605604921394395,734.719639653110047846889952153110047846889952153110047846889,-875.145064120706596035543403964456596035543403964456596035542,0.146943927930622009569377990430622009569377990430622009569378,0,0.884781065643391962785891369265298469520571181321062317790606,1,1,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,frictionless,corrected_guarded_vs_dca,epsilon-dca,-85.39111431931479304161608060928237038502248238268281335771,-0.0130894174826334534912017273359043819175161602319607147259069,1036.71112864431760405201001273549526186895683803419480689529,-9.7574108083794121486402268986502402804693853949293706108957,1036.71112864431760405201001273549526186895683803419480689529,-1122.10224296363239709362609334477763225397932041687762025301,0.207342225728863520810402002547099052373791367606838961379058,0,0.838977118788105121715775815583762660120660611926427164094227,1,0.6,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,173.35315847203859041703053593207101307362413415867057010094,0.0276704001336416247252564999279123900030986079994271082613926,126.76047074958076194674685484075841976369368013945796479003,0.4051538062822419866981189660114138548689604697322835244427,126.76047074958076194674685484075841976369368013945796479003,46.5926877224578284702836810913125933099304540192126053109105,0.207342225728863520810402002547099052373791367606838961379058,0.181990131578947368421052631578947368421052631578947368421052,0.838977118788105121715775815583762660120660611926427164094227,0.854754888646121387484566865200893682640804011358331192901903,0.6,0.6,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,frictionless,neutral_guarded_vs_dca,epsilon-dca,-258.74427279135338345864661654135338345864661654135338345865,-0.0396623446690442169342174711963233974782949218826740499076009,909.95065789473684210526315789473684210526315789473684210526,-10.1625646146616541353383458646616541353383458646616541353384,909.95065789473684210526315789473684210526315789473684210526,-1168.69493068609022556390977443609022556390977443609022556392,0.181990131578947368421052631578947368421052631578947368421052,0,0.854754888646121387484566865200893682640804011358331192901903,1,0.6,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,-84.24072752837673697225846743322610161554787087463247194493,-0.0129259902802520585392451179577687974895803923219543823380466,1036.67110204198979458271428484024917509854768623845055453707,-9.7470593875684046222171543675954371888182222357659393607131,1036.67110204198979458271428484024917509854768623845055453707,-1120.91182957036653155497275227347527671409555711308302648201,0.207334220408397958916542856968049835019709537247690110907414,0.0000000000000000000000000000000000000000000000000000000000002,0.838849004848135362410144452386973633133504590889855063291264,1,0.6,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,173.26246330784950508736212955364983326587914860369521084607,0.0276792338445029415946059864988193004601321866140051351050034,126.76239269176800942744156450101640093228595491020679135982,0.4043484401398390926949614352402907159442886408129427781413,126.76239269176800942744156450101640093228595491020679135982,46.5000706160814956599205650526334323335931936934884194862495,0.207334220408397958916542856968049835019709537247690110907414,0.18198174187004435703105454406784655483325234626564875263545,0.838849004848135362410144452386973633133504590889855063291264,0.854639167293233107196811769211875175645602637450361731081092,0.6,0.6,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,-257.503190836226242059620596986875934881427019478327682791,-0.0395115740276784980439938295445964910107654313683442001252766,909.908709350221785155272720339232774166261731328243763177249,-10.1514078277082437149121158028357279047625108765788821388544,909.908709350221785155272720339232774166261731328243763177249,-1167.41190018644802721489331732610870904768875080657144596826,0.18198174187004435703105454406784655483325234626564875263545,0.0000000000000000000000000000000000000000000000000000000000002,0.854639167293233107196811769211875175645602637450361731081092,1,0.6,0,5,5,rebound-missed-exposure|cash-drag,
sudden-rebound-primary,sudden-rebound,0.5,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,-85.34056834337973316753677868923790243002833519536765133259,-0.0130947641645020967326131531414174718827849177076871770890459,1036.63357650626390345885584286189262796203993132557413859973,-9.7562969117360316228381967091402654816701588393125373037593,1036.63357650626390345885584286189262796203993132557413859973,-1121.97414484964363662639262155113053039206826652094178993232,0.207326715301252780691771168572378525592407986265114827719946,0,0.838827119077012048846314744657814831360286158274029653777405,1,0.6,0,5,5,rebound-missed-exposure|cash-drag,
